"Year","DEPTH_STRATUM","SPATIAL_STRATUM","sets"
2010,"RD1","S1",6
2010,"RD1","S2",6
2010,"RD1","S3",6
2010,"RD1","S4",6
2010,"RD1","S5",4
2010,"RD2","S1",6
2010,"RD2","S2",6
2010,"RD2","S3",6
2010,"RD2","S4",6
2010,"RD2","S5",6
2010,"RD3","S1",6
2010,"RD3","S2",6
2010,"RD3","S3",6
2010,"RD3","S4",6
2010,"RD3","S5",6
2011,"RD1","S1",7
2011,"RD1","S2",7
2011,"RD1","S3",14
2011,"RD1","S4",6
2011,"RD1","S5",7
2011,"RD2","S1",8
2011,"RD2","S2",7
2011,"RD2","S3",6
2011,"RD2","S4",6
2011,"RD2","S5",7
2011,"RD3","S1",8
2011,"RD3","S2",8
2011,"RD3","S3",6
2011,"RD3","S4",6
2011,"RD3","S5",7
