"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD2","Oct 10 ","16:50",1952,"3C        ",48,3.1,125,59.2,48,3.2,126,0.3,779,821,790,25,"x",,,
"S1",2,"StRS","RD3","Oct 10 ","17:59",2043,"3C        ",48,0.8,126,5.6,48,0.7,126,6.8,925,962,938,25,"x",,,
"Barkley Canyon",3,"StRS","D5","Oct 10 ","19:55",2532,"3C        ",48,6.3,126,3.3,48,6.9,126,2.8,1158,1033,1067,25,"x",,,
"Barkley Canyon",4,"StRS","D4","Oct 12 ","16:31",1444,"3C        ",48,8.9,126,2.6,48,9.2,126,1.7,936,828,870,25,"x",,,
"Barkley Canyon",5,"StRS","D3","Oct 12 ","17:11",1500,"3C        ",48,9.7,125,59.9,48,9.9,125,59,799,688,718,25,"x",,,
"Barkley Canyon",6,"StRS","D1","Oct 12 ","19:03",1535,"3C        ",48,0.6,125,54.7,48,0.5,125,55.7,298,490,409,25,"x",,,
"Barkley Canyon",7,"StRS","D2","Oct 12 ","19:46",1562,"3C        ",48,2.4,125,55.9,48,2,125,56.8,472,675,608,25,"x",,,
"S1",8,"StRS","RD2","Oct 12 ","20:58",1602,"3C        ",48,0.9,126,3.4,48,1.8,126,3.6,658,519,604,24,,,,
"S1",9,"StRS","RD1","Oct 12 ","22:04",1608,"3C        ",48,1.4,126,4.7,48,2.2,126,4.9,415,362,387,25,"x",,,
"S1",10,"StRS","RD1","Oct 13 ","07:09",1593,"3C        ",48,8.4,126,31.5,48,7.8,126,31.8,265,298,278,25,"x",,,
"S1",11,"StRS","RD1","Oct 13 ","07:42",1667,"3C        ",48,6.2,126,31.9,48,5.5,126,31.8,388,435,419,25,,,,
"S1",12,"StRS","RD3","Oct 13 ","08:58",1719,"3C        ",48,0.9,126,31.5,48,9.8,126,30.9,883,947,939,25,"x",,,
"S1",13,"StRS","RD3","Oct 13 ","10:13",1787,"3C        ",48,6.6,126,25.1,48,6,126,24.7,1094,1088,1092,25,"x",,,
"S1",14,"StRS","RD3","Oct 13 ","11:57",1844,"3C        ",48,9.1,126,25.3,48,8.1,126,25.5,1183,1139,1163,25,"x",,,
"S1",15,"StRS","RD2","Oct 13 ","13:12",1909,"3C        ",48,0.5,126,16.3,48,0.3,126,15.1,721,677,697,25,"x",,,
"S1",16,"StRS","RD1","Oct 13 ","14:16",1958,"3C        ",48,9.2,126,6.6,48,8.2,126,5.9,199,208,203,25,"x",,,
"S1",17,"StRS","RD3","Oct 15 ","07:57",1357,"3C        ",48,2.1,126,54.2,48,2.5,126,53.3,1359,1335,1343,25,"x",,,
"S1",18,"StRS","RD2","Oct 15 ","10:37",1404,"3D        ",49,0.2,126,51.4,49,0.9,126,51.4,516,455,485,25,"x",,,
"S1",19,"StRS","RD2","Oct 15 ","11:25",1435,"3D        ",49,0.4,126,54.7,49,0.4,126,54.7,499,454,478,25,"x",,,
"S1",20,"StRS","RD1","Oct 15 ","12:55",1462,"3D        ",49,0.4,126,47.5,49,0.1,126,47.5,223,205,211,25,"x",,,
"S1",21,"StRS","RD1","Oct 15 ","14:19",1512,"3D        ",49,1,126,54.8,49,1.3,126,56.3,183,194,190,25,"x",,,
"S1",22,"StRS","RD2","Oct 15 ","15:21",1546,"3D        ",49,0.7,127,4.3,49,0.6,127,5.3,554,607,592,25,"x",,,
"S1",23,"StRS","RD3","Oct 15 ","16:17",1621,"3D        ",49,1,127,10.7,49,1.4,127,11.5,1209,1344,1272,24,"x",,,
"S2",24,"StRS","RD3","Oct 15 ","17:31",1720,"3D        ",49,5.7,127,20.6,49,6.6,127,20.9,1397,1394,1395,25,"x",,,
"S2",25,"StRS","RD1","Oct 15 ","20:47",1643,"3D        ",49,1.2,127,14.2,49,1.8,127,13.2,395,227,312,25,"x",,,
