"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD2","Oct 10 ","14:24",1438,"3C        ",48,2.7,125,49.9,48,2.9,125,48.8,543,499,528,25,"x",,,
"S1",2,"StRS","RD2","Oct 10 ","16:30",1468,"3C        ",48,8.6,125,59.5,48,8.6,125,58.4,619,565,579,25,"x",,,
"S1",3,"StRS","RD2","Oct 10 ","18:04",1471,"3C        ",48,9.5,125,54.3,48,9.9,125,53.5,512,499,515,25,"x",,,
"S1",4,"StRS","RD1","Oct 10 ","20:00",1453,"3C        ",48,3.5,125,54.3,48,2.9,125,53.7,195,369,248,26,"x",,,
"S1",5,"StRS","RD3","Oct 11 ","06:10",1458,"3C        ",48,3.7,126,16.5,48,4,126,15.6,927,908,907,25,"x",,,
"S1",6,"StRS","RD3","Oct 11 ","08:02",1488,"3C        ",48,9.2,126,17.9,48,9.6,126,17.4,1313,1185,1223,25,"x",,,
"S1",7,"StRS","RD2","Oct 11 ","09:56",1500,"3C        ",48,9.7,126,8.1,48,9.1,126,7.8,623,702,660,25,"x",,,
"S1",8,"StRS","RD3","Oct 11 ","12:02",1510,"3C        ",48,3.9,126,7.4,48,3.9,126,6.3,1223,1069,1139,25,"x",,,
"S1",9,"StRS","RD2","Oct 12 ","16:00",1389,"3C        ",48,5.6,126,16.3,48,6,126,15.6,822,757,795,25,"x",,,
"S1",10,"StRS","RD3","Oct 12 ","17:53",1419,"3C        ",48,9.7,126,27.4,48,9.2,126,26.7,1267,1203,1228,25,"x",,,
"S1",11,"StRS","RD3","Oct 12 ","19:01",1461,"3C        ",48,9.3,126,21.3,48,9.4,126,20.4,1000,918,958,25,"x",,,
"S1",12,"StRS","RD1","Oct 12 ","21:06",1479,"3C        ",48,4.1,126,10,48,3.4,126,10,272,219,270,24,"x",,,
"S1",13,"StRS","RD1","Oct 13 ","07:01",1382,"3C        ",48,6.4,126,12.7,48,7,126,12,435,285,349,25,"x",,,
"S1",14,"StRS","RD2","Oct 13 ","08:10",1410,"3C        ",48,0,126,19.2,48,9.4,126,20.8,499,610,548,25,"x",,,
"S1",15,"StRS","RD3","Oct 13 ","10:06",1399,"3C        ",48,8.7,126,26.1,48,8.7,126,27.1,991,1100,1047,25,"x",,,
"S1",16,"StRS","RD2","Oct 13 ","11:57",1394,"3C        ",48,1,126,30.5,48,1,126,29.4,799,802,791,25,"x",,,
"S1",17,"StRS","RD3","Oct 14 ","13:32",1352,"3C        ",48,4.5,126,43.1,48,4.5,126,42,1239,1216,1221,25,"x",,,
"S1",18,"StRS","RD1","Oct 14 ","14:44",1392,"3C        ",48,8.7,126,33.6,48,9.1,126,32.7,318,274,298,25,"x",,,
"S1",19,"StRS","RD2","Oct 14 ","16:23",1407,"3C        ",48,4.9,126,33.4,48,4.1,126,33.6,566,625,599,25,"x",,,
"S1",20,"StRS","RD1","Oct 14 ","17:49",1396,"3C        ",48,6.7,126,30.8,48,6.3,126,31.8,184,367,259,25,"x",,,
"S1",21,"StRS","RD1","Oct 14 ","19:17",1403,"3C        ",48,9.6,126,35.9,48,9.6,126,35,457,206,331,25,"x",,,
"S1",22,"StRS","RD1","Oct 14 ","20:50",1403,"3C        ",48,8.5,126,43.5,48,8,126,44,374,420,398,25,"x",,,
"S1",23,"StRS","RD3","Oct 16 ","06:11",1429,"3D        ",49,0.7,127,7.3,49,0.3,127,8,925,1020,971,25,"x",,,
"S2",24,"StRS","RD1","Oct 16 ","08:04",1440,"3D        ",49,8.1,127,9.1,49,7.6,127,9.9,237,349,279,24,"x",,,
"S2",25,"StRS","RD3","Oct 16 ","09:46",1439,"3D        ",49,7.4,127,13.6,49,7.1,127,14.4,952,1144,1049,25,"x",,,
"S2",26,"StRS","RD2","Oct 16 ","12:00",1388,"3D        ",49,0.4,127,13.9,49,9.9,127,14.7,490,665,574,25,"x",,,
"S2",27,"StRS","RD1","Oct 16 ","14:08",1374,"3D        ",49,7.8,127,14.8,49,7.8,127,14.8,404,188,246,25,"x",,,
"S2",28,"StRS","RD2","Oct 16 ","16:13",1417,"3D        ",49,6,127,27.9,49,5.6,127,26.9,672,788,729,25,"x",,,
"S2",29,"StRS","RD2","Oct 16 ","17:58",1422,"3D        ",49,5,127,37.9,49,4.6,127,38.7,612,689,649,25,"x",,,
