"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
70787,1,"D","A","T","D","D","T","D","A","T","D","A","T","D","A","T","D","A","T","A","A","T","D","A","T","D",,
70787,2,"T","D","A","T","D","A","T","D","A","T","D","A","T","A","A","T","A","A","T","A","D","T","D","A","T",,
70787,3,,"A","A","A","A","B","A","B","A","B",,"B","A","B","A","A","A","B","B",,"A",,,,,,
70787,4,"A","A",,,"A",,"A",,,"A","A","A",,"A",,"A","A",,,"A",,"A",,"A","A",,
70787,5,"A","A","A","A","A",,,"A","A","A","A","A","A",,,"A","A",,"A","A","A",,"A","A",,,
70787,6,"A",,"A",,"A","A","A",,"A","A","A","A",,,"A","A","A","A","A","A",,"A","A","A","A",,
70787,7,"A","A","B","B","A","A","B","A","B","B","B","A","D","D","D","A","D","D","D","D","D","D","B","D","D",,
70787,8,"A","T",,"A","T","D","D","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","D",,
70787,9,"D","A","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D",,
70787,10,"T","D","A","T","D","A","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","T","D","A","T",,
70787,11,"A","D","T","A","D","T","D","A","T","D","A","T","D","A","T","D","A","T","D","T","D","T","D","D","D",,
70787,12,"T","D","A","T","D","A","T","D","A","T","A","A","T","D","A","T","A","A","T","A","A","T","D","A","T",,
70787,13,"A","T","D","A","T","D","D","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","A","D",,
70787,14,"T","A","A","T","A","A","T","A","A","T","A","A","T","A","A","T","A","A","T","A","A","T","A","A","T",,
70787,15,"T","D","A","T","D","A","T","D","A","T","D","D",,"D","A",,"D,F","A","T","D","D,F","T","D","D,F","T",,
70787,16,"A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T",,"D","T",,"D","T","D","A",,
70787,17,"T","A","A","T",,"A",,"A",,,,"T",,,"T","A",,,"T",,,,,,"T",,
70787,18,"A","T","D","D","T","D","D","T","D","D","T","D","D","D","T","D","D","T","D","D","T","D","D","T","D",,
70787,19,"D","A","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","A","T","D","D","T",,,
70787,20,"T","D","A",,"T","D","D","T","D","D","T","D","D","T",,"D","T","D","A","T","D","A","T","D","D",,
70787,21,"D","D,F","T","A","A","T","A","A","T","A","A","T","A","A","T","A","A",,"D","D","T","D","D","T","D",,
70787,22,"T","D","A","T","A","D","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","D","T",,
70787,23,,"T","A","A","T","A","A","T","A","A","T","A",,,"A","A",,"A",,"T","A","A",,,,,
70787,24,"T",,,,,,,"A","T",,"A","T",,,,"A","T",,,,"A",,"A","T",,,
70787,25,"T","D","A,F","T","D","A","T","D","D","D","T","D","T,F","D","D","T","D","D","T","D","D","T","D","A","T",,
70787,26,"A","A","A","A","A","A",,"A","A",,"A","A",,"A","A",,,,,,,,,"A","A",,
70787,27,,"A",,,"A","A",,,,"A",,,,,"A","A",,,,,,,"A",,,,
