"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
72067,1,"D","A","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","A","T","T","D","D","T",,
72067,2,"T","D","A","T","D",,"T","D","A","T","D","A","T","D","A","T","A","D","T","D","D","T",,"D","T",,
72067,3,"A","T","D",,"T","D","A","D,F","A","A,F","T","A,F","A,F","D,F","A","A,F","T","A,F","A,F","D,F","A,F",,"D,F",,,,
72067,4,,"D",,,,"A","T","A","A","T","A","A","T","A","A","T","A","A","T","A,F","A","T,F","A","A","T","A",
72067,5,"T","D","A","T","D","A","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","T","D","A",,,
72067,6,"A","T","A","A","T","D",,"T","A","A","T","A","A","T",,,"T",,"A","T","A","A","T","A","A",,
72067,7,"T","D","A","T","D,F","A","T","D","A","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T",,
72067,8,,"T","A",,,,,,"A","A","T","A","A","T","A","A","T","A","A","T","A","A",,,,,
72067,9,"D","A","T","D","A","T","D","D","T","D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D",,
72067,10,"T","D","A",,"A","A","T","D","A","T",,"A","T","A","A",,"A",,"T","A",,"T","T","A","A",,
72067,11,"D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","D","T","D","D","T","D","A","T","A",,
72067,12,"T","A","T","T",,"T",,,"T","T","D","T","D","A","T","T","D","T",,"A","T","T","D",,,,
72067,13,"A","T","D","A","T","A","A","T","D","A","T","D","A","T","A","A","T","A",,"T","A","D","T","D","D",,
72067,14,"T","D","A",,"D","A","T","D","D","T","D","D","T","D","A","T","D","A","T","D","D","T","D","D","T",,
72067,15,"T","D","A","T",,"A","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","D","T",,
72067,16,"A","T","D","D","T","D","A","T","D","A","T","A","D","T","D","A","T",,"A","T","D","A","T","A","D",,
72067,17,"T","A","A","T","A",,"T","A","A",,"A",,,,"A","T",,"A",,,"A","T","A",,,,
72067,18,"A","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D",,
72067,19,"D,F","A","T,F","D,F","D","T","D","D","T","D","A,F","T,F","D,F","A,F","T,F","D,F","D","T,F","D","A","T","D,F","A","T",,,
72067,20,"T","A","A","T",,"D",,"D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","A","D",,,
72067,21,"D,F","A,F","T,F","A","D,F","T","D","A,F","T,F","D","D","T,F","D","D","T","D","A","T","D","A","T","D","A","T","D",,
