"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,292,162,0,0,30,30,545,53,52,52,52,52,53,0.85,542,633
2,413,172,0,0,70,70,614,48,48,48,48,48,48,0.71,575,648
3,370,110,0,0,0,0,,110,110,110,53,53,110,0.18,592,692
4,109,44,0,0,0,0,,43,43,43,43,43,43,0.49,587,635
5,150,59,2,0,0,2,602,58,58,58,58,58,58,0.66,596,667
6,186,68,0,0,0,0,,68,68,67,52,52,68,0.71,611,662
7,582,231,0,0,0,0,,147,147,147,50,50,147,0.88,609,650
8,764,340,1,0,120,121,571,56,56,56,56,56,56,0.71,586,661
9,1279,464,2,0,127,129,627,96,96,96,95,96,96,0.77,608,650
10,717,261,0,0,78,78,605,55,55,55,55,55,55,0.62,608,681
11,720,313,2,0,121,123,583,56,56,56,56,56,56,0.8,581,562
12,412,157,0,0,62,62,619,64,64,63,64,63,64,0.31,573,647
13,596,198,0,0,50,50,632,53,53,53,53,53,53,0.06,616,642
14,342,99,0,0,37,37,670,62,62,62,62,62,62,0.13,635,677
15,473,206,0,0,43,43,594,51,51,51,51,51,51,0.65,559,669
16,619,310,0,0,128,128,569,56,56,56,56,56,56,0.29,575,590
17,127,24,0,0,14,14,769,10,10,10,10,10,10,0,0,753
18,1118,624,6,0,208,213,526,61,61,61,61,61,61,0.61,509,498
19,1335,769,9,0,239,248,543,84,84,84,84,84,84,0.79,528,533
20,1296,372,1,1,157,158,652,47,47,47,47,47,47,0.3,641,700
21,250,148,0,0,49,49,526,61,61,60,60,61,61,0.33,500,562
22,1083,567,2,0,187,188,553,80,80,80,79,80,80,0.81,550,586
23,196,52,0,0,20,20,673,31,31,31,31,31,31,0,0,677
24,68,16,1,0,7,8,716,7,8,8,8,8,8,0,0,699
25,1503,580,1,0,177,178,613,81,80,80,79,81,81,0.55,621,649
26,84,31,1,0,0,1,678,30,30,29,30,30,30,0.1,570,638
27,21,8,0,0,0,0,,8,8,8,8,8,8,0.25,606,631
28,391,168,0,0,43,43,597,58,58,58,58,58,58,0.55,569,640
29,140,53,0,0,0,0,,53,53,53,53,53,53,0.53,617,632
30,23,10,0,0,0,0,,10,10,10,10,10,10,0.8,594,667
31,184,77,0,0,16,16,604,53,53,53,53,53,53,0.75,571,695
32,416,153,0,0,62,62,609,66,66,66,66,66,66,0.47,581,649
33,107,46,0,0,0,0,,46,46,46,46,46,46,0.57,582,605
34,419,132,0,0,55,55,662,42,42,42,42,42,42,0.17,607,665
35,999,358,1,0,145,146,635,52,53,53,53,53,53,0.38,598,634
36,335,128,0,0,0,0,,128,128,128,55,55,128,0.71,600,674
37,243,81,0,0,0,0,,81,81,81,49,52,81,0.3,606,675
38,479,139,0,0,23,23,662,58,58,58,58,58,58,0.36,648,707
39,836,270,1,1,100,102,657,59,59,59,59,59,59,0.69,611,740
40,540,128,0,0,54,54,699,52,53,53,53,53,53,0.28,657,724
41,1084,263,0,0,90,90,702,56,57,57,57,57,57,0.35,667,745
42,664,258,0,0,83,83,636,52,52,51,52,52,52,0.58,581,636
43,699,311,1,0,116,117,582,61,61,61,61,61,61,0.8,583,623
44,70,27,0,0,0,0,,27,27,27,27,27,27,0.52,566,686
45,116,43,1,0,0,1,633,37,37,37,37,37,37,0.38,587,650
46,151,49,0,0,0,0,,49,49,49,49,49,49,0.47,621,699
47,457,162,0,0,66,66,619,51,51,51,51,51,51,0.78,621,661
48,113,39,0,0,7,7,655,28,28,28,28,28,28,0.36,595,644
49,429,154,1,0,72,73,640,51,51,51,51,51,51,0.55,602,697
50,155,38,0,0,13,13,705,25,25,25,25,25,25,0.4,669,751
51,323,118,2,0,35,37,626,54,55,55,55,55,55,0.71,606,699
52,250,60,1,0,26,27,702,27,27,27,27,27,27,0.41,677,712
53,705,194,0,0,85,85,662,62,62,62,62,62,62,0.44,636,693
54,630,228,1,0,93,94,625,46,46,46,46,46,46,0.65,611,677
55,684,245,1,0,75,76,644,49,49,49,49,49,49,0.69,624,682
56,973,370,1,0,130,131,609,53,53,53,53,53,53,0.7,602,714
57,90,28,1,0,0,0,,27,27,27,27,27,27,0.19,602,668
58,743,303,1,0,0,1,612,121,121,121,51,51,121,0.81,601,675
59,190,62,0,0,0,0,,62,62,62,62,62,62,0.27,637,686
60,412,99,1,0,44,45,725,54,54,54,54,54,54,0.13,677,730
61,643,324,3,0,87,90,567,60,60,60,60,60,60,0.85,545,612
62,305,97,2,0,0,2,834,94,94,94,58,58,94,0.35,613,692
63,175,79,0,0,0,0,,79,79,79,51,52,79,0.75,576,645
64,988,589,0,0,214,214,549,61,61,61,61,61,61,0.3,512,571
65,173,35,0,0,0,0,,25,25,25,25,25,25,0.08,716,764
66,488,141,1,0,41,42,664,54,54,54,54,54,54,0.2,642,659
67,831,350,0,0,122,122,618,65,65,65,63,65,65,0.43,565,636
68,937,348,1,0,110,110,642,55,54,54,55,54,55,0.39,592,655
69,813,241,0,0,99,99,681,55,55,55,55,55,55,0.16,592,686
70,440,98,0,0,24,24,743,54,54,54,54,54,54,0.2,675,769
71,596,276,1,0,92,93,590,51,51,51,51,51,51,0.82,563,576
72,535,241,1,0,114,114,592,48,48,48,48,48,48,0.71,584,610
73,131,38,0,0,0,0,,38,38,38,0,38,38,0.29,608,693
74,595,225,0,0,60,60,635,50,50,50,17,50,50,0.58,604,686
75,204,66,1,0,25,26,654,34,34,33,33,0,34,0.21,580,701
76,110,30,0,0,0,0,,30,30,30,30,30,30,0.27,629,733
77,111,42,0,0,0,0,,42,42,42,42,42,42,0.62,590,664
78,221,89,0,0,0,0,,89,87,87,52,50,89,0.67,597,674
79,127,44,0,0,0,0,,44,44,44,44,44,44,0.66,620,711
80,270,72,0,0,45,45,698,24,24,24,24,23,24,0.46,641,689
81,8,1,0,0,1,1,884,0,0,0,0,0,0,0,0,0
82,302,77,2,0,52,54,685,23,23,23,23,23,23,0.35,644,718
83,261,78,3,1,19,23,658,44,44,44,40,44,44,0.75,634,727
84,123,36,0,0,12,11,668,24,24,24,24,24,24,0.71,619,656
85,246,84,1,0,28,29,629,29,29,29,29,29,29,0.62,581,708
86,385,122,0,0,60,60,667,41,41,41,41,41,41,0.41,648,715
87,298,67,1,0,26,27,754,40,40,40,40,40,40,0.38,686,769
88,145,33,0,0,14,14,721,19,19,19,19,19,19,0.32,690,792
89,596,244,1,0,82,83,609,55,55,55,55,55,55,0.82,610,684
90,359,98,0,0,0,0,,94,94,94,46,46,94,0.27,638,717
91,505,159,1,0,0,1,606,118,118,118,52,52,118,0.41,611,688
