"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,554,352,1,0,111,112,521,51,51,51,51,51,51,0.59,526,538
2,647,318,0,0,127,127,569,67,67,67,67,67,67,0.85,569,640
3,151,92,0,0,19,19,578,35,36,36,36,36,36,0.56,567,566
4,216,103,0,0,44,44,572,50,51,51,51,51,51,0.24,514,601
5,707,309,1,0,89,90,597,68,68,68,68,68,68,0.41,565,626
6,347,78,0,0,20,20,721,56,56,56,56,56,56,0.04,645,732
7,510,275,0,0,108,108,550,50,50,50,50,50,50,0.78,544,630
8,152,46,0,0,15,15,646,31,31,31,31,31,31,0.06,613,669
9,568,281,1,0,71,72,567,53,53,53,53,53,53,0.83,558,684
10,394,94,1,0,39,40,712,49,49,49,49,49,49,0,0,714
11,819,356,1,0,122,123,595,61,61,61,61,61,61,0.43,574,597
12,154,58,0,0,23,23,598,34,34,34,34,34,34,0.29,632,618
13,301,114,0,0,36,36,636,57,57,57,57,57,57,0.58,594,597
14,513,262,0,0,58,58,557,55,55,55,55,55,55,0.76,559,558
15,702,285,7,0,94,101,608,53,53,53,53,53,53,0.42,580,616
16,359,183,1,0,61,62,571,53,53,53,53,53,53,0.75,547,603
17,200,46,0,0,16,16,658,42,42,42,42,42,42,0.07,660,669
18,1235,748,1,0,245,246,539,69,69,69,69,69,69,0.52,534,532
19,658,281,1,0,105,106,606,51,51,50,51,50,51,0.8,584,620
20,530,276,0,0,53,53,573,54,54,54,54,54,54,0.39,558,571
21,630,312,0,0,84,84,580,50,48,48,50,50,50,0.56,575,583
22,1128,685,3,0,227,228,527,59,59,59,59,59,59,0.59,533,531
23,460,196,2,0,62,64,602,59,59,59,59,59,59,0.46,565,620
24,754,298,0,0,118,118,612,52,52,52,52,52,52,0.31,565,619
25,483,157,0,0,42,42,650,54,55,55,55,55,55,0.16,600,643
26,1291,613,4,1,203,208,575,60,60,60,60,60,60,0.75,559,572
27,360,141,0,0,75,75,609,23,23,23,23,23,23,0.3,587,669
28,59,29,0,0,9,9,552,20,20,20,20,20,20,0.35,562,596
29,448,338,0,0,138,138,506,54,54,54,54,54,54,0.7,513,498
30,695,240,0,0,77,77,636,54,55,55,55,55,55,0.49,605,688
31,923,360,2,0,115,117,607,56,56,56,56,56,56,0.68,587,617
32,1336,678,0,0,229,229,566,78,78,78,78,78,78,0.6,540,628
33,749,278,0,0,109,109,627,49,50,50,50,50,50,0.42,588,643
34,1183,669,4,0,234,238,553,55,55,55,55,55,55,0.84,523,618
35,701,194,0,0,81,81,689,52,52,52,52,52,52,0.1,634,707
36,473,132,0,0,47,47,682,55,55,55,55,55,55,0.35,617,714
