"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen","Rougheye","Blackspotted","Hybrid"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",6,1,0,1,0,0,1,1,1,473,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",9,14,0,14,0,0,14,14,0.46,494,486,500,11,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",11,16,0,16,0,0,16,16,0.75,489,498,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",19,1,0,1,0,0,1,1,0,0,450,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",25,7,0,7,0,0,7,7,0.57,462,487,0,7,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",29,3,0,3,0,0,3,3,0.67,431,466,0,3,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",32,2,0,2,0,0,2,2,0.5,416,429,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",40,6,0,6,0,0,6,6,0.83,449,392,0,1,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",41,9,0,9,0,0,9,9,0.67,450,422,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",45,8,0,8,0,0,8,8,0.63,437,483,0,7,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",47,2,0,2,0,0,2,2,0.5,497,456,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",48,2,0,2,0,0,2,2,1,525,0,0,2,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",50,4,0,4,0,0,4,4,0.75,484,591,0,2,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",51,6,0,6,0,0,6,6,0.5,523,477,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",53,3,0,3,0,0,3,3,0.67,467,437,0,2,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",57,15,0,15,0,0,15,15,0.53,470,509,0,10,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",58,1,0,1,0,0,1,1,1,475,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",64,1,0,1,0,0,1,1,0,0,563,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",66,2,0,2,0,0,2,2,1,466,0,0,0,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",71,1,0,1,0,0,1,1,1,446,0,0,0,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",72,3,0,3,0,0,3,3,0.67,421,422,0,1,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",73,10,0,10,0,0,10,10,0.6,468,457,0,2,8,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",77,1,0,1,0,0,1,1,1,510,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",80,13,0,13,0,0,13,13,0.54,427,488,0,11,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",81,1,0,1,0,0,1,1,0,0,545,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",82,12,0,12,0,0,12,12,0.42,428,476,0,0,12,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",83,1,0,0,0,0,1,1,0,0,0,480,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",84,7,0,7,0,0,7,7,0.29,472,515,0,1,6,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",85,2,0,2,0,0,0,2,0.5,500,491,0,,,
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",90,19,0,19,0,0,13,19,0.32,474,465,0,4,14,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",96,32,0,32,0,0,32,33,0.53,468,461,0,3,29,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",97,10,0,10,0,0,10,10,0.6,443,442,0,1,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",103,19,0,19,0,0,19,19,0.37,450,502,0,5,14,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",104,1,0,1,0,0,1,1,0,0,405,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",107,25,0,25,0,0,25,30,0.52,456,485,0,2,23,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",112,26,0,26,0,0,26,28,0.38,456,458,0,9,17,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",114,35,0,35,0,0,30,35,0.74,467,449,0,3,27,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",115,13,0,13,0,0,13,13,0.38,460,479,0,4,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",116,1,0,1,0,0,1,1,1,465,0,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",121,25,0,25,0,0,25,65,0.28,466,473,0,4,21,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",123,7,0,7,0,0,7,7,0.29,477,470,0,3,4,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",125,6,0,6,0,0,6,7,0.33,455,481,0,0,6,0
