"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen","Rougheye","Blackspotted","Hybrid"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",12,3,3,3,3,3,3,3,0.67,494,578,0,2,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",22,15,15,15,15,15,15,15,0.47,458,465,0,15,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",27,6,6,6,6,6,6,7,0.67,525,431,0,6,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",31,5,5,5,5,5,5,5,0.4,462,466,0,5,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",40,1,1,1,1,1,1,1,1,376,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",41,1,1,1,1,1,1,1,0,0,353,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",47,10,10,10,10,10,10,10,0.9,472,424,0,3,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",49,1,1,1,1,1,1,1,1,431,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",50,1,1,1,1,1,1,1,1,568,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",53,16,16,16,16,16,16,16,0.44,405,445,0,2,14,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",54,1,1,1,1,1,1,1,1,481,0,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",58,1,1,1,1,1,1,1,1,400,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",59,1,1,1,1,1,1,1,1,500,0,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",66,2,2,2,2,2,2,2,0.5,308,396,0,0,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",72,7,7,7,7,7,7,7,0.29,455,620,0,2,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",73,45,45,45,45,45,42,45,0.47,445,454,0,1,41,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",74,2,2,2,2,2,2,2,0.5,557,495,0,0,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",75,10,10,10,10,10,10,10,0.6,445,473,0,0,10,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",77,2,2,2,2,2,2,2,0.5,685,605,0,1,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",80,2,2,2,2,2,2,2,0.5,822,614,0,0,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",83,2,2,2,2,2,2,2,0.5,450,428,0,1,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",86,11,11,11,11,11,11,11,0.55,442,438,0,1,10,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",96,19,19,19,19,19,19,19,0.37,470,508,0,1,18,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",97,8,8,8,8,8,8,8,0.75,462,486,0,1,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",101,13,13,13,13,13,13,13,0.46,478,481,0,1,12,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",104,6,6,6,6,6,6,6,0.5,439,465,0,1,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",110,50,50,50,50,50,50,74,0.24,474,538,0,9,41,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",112,1,1,1,1,1,1,1,1,542,0,0,1,0,0
