"Year","lat","depth","temperature","Sets"
2010,53,735,3.8,109
2010,48,702.1,4.2,15
2010,51,1081.1,3.2,59
2010,50,642.7,4.4,39
2010,54,749.7,3.8,132
2010,50,585.7,4.6,36
2010,54,1049.1,3.1,129
2010,49,1003.4,3.4,35
2010,51,186.1,6.3,65
2010,51,623,4.4,56
2010,51,952.8,3.5,62
2010,49,559.5,4.8,22
2010,53,511.8,4.7,115
2010,52,1029.7,3.2,95
2010,50,428.3,5.4,45
2010,53,990.9,3.3,118
2010,49,489.8,5.2,19
2010,51,461,5.2,72
2010,51,784.9,3.8,78
2010,52,696.4,4,92
2010,48,912.1,3.6,2
2010,51,239.3,5.8,75
2010,49,357.3,5.9,25
2010,48,809.8,4,5
2010,52,599.1,4.3,98
2010,52,569.6,4.5,85
2010,52,379.5,5.7,82
2010,50,240.6,6.5,52
2010,53,335.3,5.4,125
2010,49,342,5.8,32
2010,49,502.9,5,18
2010,48,328.2,6.3,6
2010,48,895.4,3.7,12
2010,49,186.3,6.6,21
2010,53,285.4,5.7,127
2010,52,858.3,3.6,89
2010,53,470.2,4.8,121
2010,53,343.7,5.4,124
2010,51,586.3,4.6,77
2010,52,900.1,3.5,86
2010,51,642.4,4.4,74
2010,54,493.5,4.6,133
2010,52,637.1,4.3,83
2010,51,1081,3.1,68
2010,48,394.2,5.9,9
2010,50,872.2,3.7,46
2010,51,941.6,3.5,55
2010,49,939.1,3.6,28
2010,49,1087.5,3.2,34
2010,50,1007.9,3.3,49
2010,49,617.1,4.4,31
2010,50,365.4,5.6,40
2010,51,485.3,4.9,58
2010,53,1071,3.1,105
2010,51,688.3,4.3,61
2010,52,555.1,4.5,99
2010,53,412.1,5.1,114
2010,53,915,3.5,108
2010,52,428.4,5,96
2010,48,1144,3.2,3
2010,51,1044.8,3.2,70
2010,49,510.6,4.9,43
2010,51,281.2,5.8,64
2010,52,371.8,5.4,97
2010,53,517.9,4.6,123
2010,49,1377.5,2.7,24
2010,50,318.9,6.1,50
2010,48,1080.2,3.3,13
2010,50,318.4,5.9,53
2010,53,421.4,5,126
2010,52,820.6,3.7,100
2010,49,846.1,3.8,27
2010,53,983,3.3,120
2010,49,556.5,4.8,33
2010,51,577.8,4.6,54
2010,51,292.9,5.8,57
2010,49,639.7,4.4,30
2010,51,393.1,5.5,80
2010,53,435.7,5,107
2010,54,1099.6,2.9,130
2010,48,565.2,4.8,7
2010,52,1137.7,3,87
2010,50,1022.5,3.3,37
2010,52,534.6,4.6,84
2010,53,740.9,3.7,110
2010,48,198.3,6.6,16
2010,50,766.5,4,44
2010,53,783.6,3.8,117
2010,49,217.6,6.4,20
2010,52,726.2,3.9,93
2010,52,401.1,5.4,90
2010,51,989.3,3.3,67
2010,51,361,5.2,73
2010,52,576.4,4.5,91
2010,53,306.5,5.8,103
2010,52,859.8,3.6,94
2010,52,1072.3,3.1,88
2010,53,811.3,3.7,106
2010,51,910.6,3.5,79
2010,50,217.9,6.3,48
2010,48,950.2,3.7,4
