"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.47,0.53,558,575,551
"S1","RD2       ",0.75,0.25,557,593,562
"S1","RD3       ",0.26,0.74,575,662,618
"S2","RD1       ",0.36,0.64,589,640,614
"S2","RD2       ",0.64,0.36,547,605,564
"S2","RD3       ",0.37,0.63,604,682,653
"S3","RD1       ",0.3,0.7,583,648,631
"S3","RD2       ",0.61,0.39,581,619,580
"S3","RD3       ",0.52,0.48,583,666,594
"S4","RD1       ",0.13,0.87,611,694,684
"S4","RD2       ",0.49,0.51,589,661,609
"S4","RD3       ",0.47,0.53,615,712,652
"S5","RD1       ",0.28,0.72,572,598,586
"S5","RD2       ",0.52,0.48,573,616,594
"S5","RD3       ",0.57,0.43,643,707,651
