"species_name","count"
"NORTH PACIFIC SPINY DOGFISH",789
"SPOTTED RATFISH",3
"PACIFIC FLATNOSE",17
"PACIFIC COD",2
"WALLEYE POLLOCK",5
"POPEYE",1
"PACIFIC GRENADIER",740
"THREADFIN GRENADIER",1
"GIANT GRENADIER",100
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",267
"AURORA ROCKFISH",1
"REDBANDED ROCKFISH",250
"SHORTRAKER ROCKFISH",20
"SILVERGRAY ROCKFISH",2
"GREENSTRIPED ROCKFISH",3
"ROSETHORN ROCKFISH",24
"BOCACCIO",1
"YELLOWMOUTH ROCKFISH",3
"YELLOWEYE ROCKFISH",108
"SHARPCHIN ROCKFISH",1
"SHORTSPINE THORNYHEAD",22
"LONGSPINE THORNYHEAD",6
"LINGCOD",1
"EMARGINATE SNAILFISH",1
"ARROWTOOTH FLOUNDER",718
"PETRALE SOLE",1
"PACIFIC HALIBUT",9
"DOVER SOLE",15
