"TRIP_ID","year","set","sbe","acc","ctd"
70787,2010,1,3,,
72067,2011,1,3,,
70787,2010,2,3,,
72067,2011,2,3,,
70787,2010,3,3,,
72067,2011,3,3,,
70787,2010,4,3,,
72067,2011,4,3,,
70787,2010,5,3,,
72067,2011,5,3,,
70787,2010,6,3,,
72067,2011,6,3,,
70787,2010,7,3,,
72067,2011,7,3,,
72067,2011,8,3,,
70787,2010,9,3,,
72067,2011,9,3,,
70787,2010,10,3,,
72067,2011,10,3,,
72067,2011,11,3,,
70787,2010,12,3,,
72067,2011,12,3,,
70787,2010,13,3,,
72067,2011,13,3,,
70787,2010,14,3,,
72067,2011,14,3,,
70787,2010,15,3,,
72067,2011,15,3,,
70787,2010,16,3,,
72067,2011,16,3,,
70787,2010,17,23,,
72067,2011,17,3,,
70787,2010,18,3,,
72067,2011,18,3,,
70787,2010,19,3,,
72067,2011,19,3,,
70787,2010,20,3,,
72067,2011,20,3,,
70787,2010,21,3,,
72067,2011,21,3,,
70787,2010,22,3,,
72067,2011,22,3,,
70787,2010,23,3,,
72067,2011,23,23,,
70787,2010,24,23,,
72067,2011,24,3,,
70787,2010,25,23,,
72067,2011,25,23,,
70787,2010,26,23,,
72067,2011,26,23,,
70787,2010,27,23,,
72067,2011,27,3,,
70787,2010,28,23,,
72067,2011,28,23,,
70787,2010,29,23,,
72067,2011,29,3,,
70787,2010,30,3,,
72067,2011,30,23,,
70787,2010,31,23,,
72067,2011,31,23,,
70787,2010,32,23,,
72067,2011,32,23,,
70787,2010,33,23,,
72067,2011,33,3,,
70787,2010,34,3,,
72067,2011,34,23,,
70787,2010,35,3,,
72067,2011,35,3,,
70787,2010,36,3,,
72067,2011,36,3,,
70787,2010,37,3,,
72067,2011,37,3,,
70787,2010,38,23,,
72067,2011,38,23,,
70787,2010,39,3,,
72067,2011,39,3,,
70787,2010,40,3,,
72067,2011,40,23,,
70787,2010,41,3,,
72067,2011,41,23,,
70787,2010,42,3,,
72067,2011,42,3,,
70787,2010,43,3,,
72067,2011,43,3,,
70787,2010,44,3,,
72067,2011,44,23,,
70787,2010,45,3,,
72067,2011,45,23,,
70787,2010,46,3,,
72067,2011,46,23,,
70787,2010,47,3,,
72067,2011,47,23,,
70787,2010,48,3,,
72067,2011,48,3,,
70787,2010,49,3,,
72067,2011,49,23,,
70787,2010,50,3,,
72067,2011,50,3,,
70787,2010,51,23,,
72067,2011,51,3,,
70787,2010,52,23,,
72067,2011,52,3,,
70787,2010,53,3,,
72067,2011,53,23,,
70787,2010,54,4,,
72067,2011,54,23,,
70787,2010,55,3,,
72067,2011,55,23,,
70787,2010,56,3,,
72067,2011,56,3,,
70787,2010,57,23,,
72067,2011,57,23,,
70787,2010,58,3,,
72067,2011,58,3,,
70787,2010,59,3,,
72067,2011,59,23,,
70787,2010,60,24,,
72067,2011,60,3,,
70787,2010,61,23,,
72067,2011,61,23,,
70787,2010,62,3,,
72067,2011,62,23,,
70787,2010,63,3,,
72067,2011,63,19,,
70787,2010,64,3,,
72067,2011,64,23,,
70787,2010,65,4,,
72067,2011,65,23,,
70787,2010,66,3,,
72067,2011,66,23,,
70787,2010,67,3,,
72067,2011,67,3,,
70787,2010,68,3,,
72067,2011,68,3,,
70787,2010,69,3,,
72067,2011,69,4,,
70787,2010,70,23,,
72067,2011,70,23,,
70787,2010,71,3,,
72067,2011,71,23,,
70787,2010,72,23,,
72067,2011,72,3,,
70787,2010,73,23,,
72067,2011,73,3,,
70787,2010,74,4,,
72067,2011,74,3,,
70787,2010,75,23,,
72067,2011,75,23,,
70787,2010,76,23,,
72067,2011,76,3,,
70787,2010,77,23,,
72067,2011,77,3,,
70787,2010,78,23,,
72067,2011,78,23,,
70787,2010,79,3,,
72067,2011,79,3,,
70787,2010,80,23,,
72067,2011,80,3,,
70787,2010,81,3,,
72067,2011,81,3,,
70787,2010,82,3,,
72067,2011,82,3,,
70787,2010,83,3,,
72067,2011,83,3,,
70787,2010,84,3,,
72067,2011,84,3,,
70787,2010,85,23,,
72067,2011,85,3,,
70787,2010,86,3,,
72067,2011,86,3,,
70787,2010,87,23,,
72067,2011,87,3,,
70787,2010,88,23,,
72067,2011,88,3,,
70787,2010,89,23,,
72067,2011,89,3,,
70787,2010,90,3,,
72067,2011,90,3,,
70787,2010,91,3,,
72067,2011,91,23,,
70787,2010,92,3,,
72067,2011,92,3,,
70787,2010,93,3,,
72067,2011,93,3,,
70787,2010,94,4,,
72067,2011,94,3,,
70787,2010,95,23,,
72067,2011,95,3,,
70787,2010,96,3,,
72067,2011,96,3,,
70787,2010,97,3,,
72067,2011,97,2,,
70787,2010,98,3,,
72067,2011,98,3,,
70787,2010,99,4,,
72067,2011,99,3,,
70787,2010,100,3,,
72067,2011,100,3,,
70787,2010,101,23,,
72067,2011,101,3,,
70787,2010,102,23,,
72067,2011,102,3,,
70787,2010,103,24,,
72067,2011,103,3,,
70787,2010,104,3,,
72067,2011,104,3,,
70787,2010,105,23,,
72067,2011,105,3,,
70787,2010,106,23,,
72067,2011,106,23,,
70787,2010,107,23,,
72067,2011,107,23,,
70787,2010,108,23,,
72067,2011,108,3,,
70787,2010,109,23,,
72067,2011,109,3,,
70787,2010,110,22,,
72067,2011,110,3,,
70787,2010,111,3,,
72067,2011,111,23,,
70787,2010,112,23,,
72067,2011,112,3,,
70787,2010,113,3,,
72067,2011,113,3,,
70787,2010,114,3,,
72067,2011,114,23,,
70787,2010,115,3,,
72067,2011,115,3,,
70787,2010,116,3,,
72067,2011,116,3,,
70787,2010,117,3,,
72067,2011,117,23,,
70787,2010,118,3,,
72067,2011,118,23,,
70787,2010,119,3,,
72067,2011,119,23,,
70787,2010,120,3,,
72067,2011,120,23,,
70787,2010,121,3,,
72067,2011,121,23,,
70787,2010,122,3,,
72067,2011,122,23,,
70787,2010,123,3,,
72067,2011,123,23,,
70787,2010,124,3,,
72067,2011,124,23,,
70787,2010,125,3,,
72067,2011,125,23,,
70787,2010,126,3,,
72067,2011,126,23,,
70787,2010,127,3,,
72067,2011,127,23,,
70787,2010,128,3,,
72067,2011,128,3,,
70787,2010,129,3,,
72067,2011,129,23,,
70787,2010,130,3,,
72067,2011,130,3,,
70787,2010,131,3,,
72067,2011,131,22,,
70787,2010,132,23,,
72067,2011,132,3,,
70787,2010,133,23,,
70787,2010,134,3,,
70787,2010,135,23,,
70787,2010,136,23,,
70787,2010,137,3,,
70787,2010,138,3,,
70787,2010,139,3,,
70787,2010,140,3,,
70787,2010,141,3,,
70787,2010,142,3,,
70787,2010,143,3,,
70787,2010,144,3,,
70787,2010,145,23,,
70787,2010,146,3,,
70787,2010,147,3,,
70787,2010,148,3,,
70787,2010,149,23,,
70787,2010,150,3,,
70787,2010,151,3,,
70787,2010,152,3,,
70787,2010,153,3,,
